item,residue_PERMUTE,residue_SYMBOL,residue_PSEUDO,clean_all
0,False,False,False,True
1,True,False,False,False
2,True,True,True,False
3,True,True,True,False
4,True,True,True,False
5,True,True,True,False
6,True,False,False,False
7,True,True,True,False
8,True,True,True,False
9,True,False,False,False
10,True,True,True,False
11,True,True,True,False
12,True,True,True,False
13,True,True,True,False
14,True,True,True,False
15,True,True,True,False
16,True,True,True,False
17,True,True,True,False
18,True,True,True,False
19,True,True,True,False
20,True,False,False,False
21,False,False,False,True
22,True,True,True,False
23,True,False,False,False
24,True,False,False,False
25,True,False,False,False
26,True,True,True,False
27,True,True,True,False
28,True,True,True,False
29,True,False,False,False
30,True,True,True,False
31,True,True,True,False
32,True,True,True,False
33,True,True,True,False
34,True,True,True,False
35,True,True,True,False
36,True,False,False,False
37,True,False,False,False
38,True,True,True,False
39,True,True,True,False
40,False,False,False,True
41,True,False,False,False
42,True,False,False,False
43,True,False,False,False
44,True,True,True,False
45,True,False,False,False
46,True,False,False,False
47,True,True,True,False
48,True,True,True,False
49,True,True,True,False
50,True,True,True,False
51,True,True,True,False
52,True,True,True,False
53,True,True,True,False
54,True,True,True,False
55,True,True,True,False
56,True,True,True,False
57,True,True,True,False
58,True,True,True,False
59,True,True,True,False
60,True,True,True,False
61,True,False,False,False
62,True,True,True,False
63,True,True,True,False
64,True,False,False,False
65,True,True,True,False
66,True,False,False,False
67,True,False,False,False
68,True,False,False,False
69,True,False,False,False
70,True,True,True,False
71,True,True,True,False
72,True,False,False,False
73,True,False,False,False
74,True,False,False,False
75,True,True,True,False
76,True,False,False,False
77,True,True,True,False
78,True,True,True,False
79,True,True,True,False
80,True,True,True,False
81,True,True,True,False
82,True,True,True,False
83,True,True,True,False
84,True,True,True,False
85,True,False,False,False
86,False,False,False,True
87,False,False,False,True
88,False,False,False,True
89,True,False,False,False
90,False,False,False,True
91,True,False,False,False
92,True,False,False,False
93,False,False,False,True
94,True,False,False,False
95,True,False,False,False
96,True,True,True,False
97,True,True,True,False
98,True,True,True,False
99,True,True,True,False
100,True,False,False,False
101,True,True,True,False
102,True,False,False,False
103,True,False,False,False
104,True,True,True,False
105,True,True,True,False
106,True,True,True,False
107,True,False,False,False
108,True,False,False,False
109,True,False,False,False
110,True,True,True,False
111,True,False,False,False
112,True,True,True,False
113,True,False,False,False
114,True,True,True,False
115,True,True,True,False
116,True,True,True,False
117,True,True,True,False
118,True,True,True,False
119,True,True,True,False
120,True,False,False,False
121,True,False,False,False
122,True,False,False,False
123,True,True,True,False
124,True,False,False,False
125,True,False,False,False
126,True,False,False,False
127,True,False,False,False
128,True,False,False,False
129,True,False,False,False
130,True,True,True,False
131,True,False,False,False
132,True,True,True,False
133,True,True,True,False
134,True,True,True,False
135,True,True,True,False
136,True,True,True,False
137,True,True,True,False
138,True,True,True,False
139,True,False,False,False
140,True,True,True,False
141,True,True,True,False
142,False,False,False,True
143,True,False,False,False
144,False,False,False,True
145,True,True,True,False
146,True,True,True,False
147,False,False,False,True
148,True,True,True,False
149,True,True,True,False
150,True,True,True,False
151,True,True,True,False
152,True,False,False,False
153,True,True,True,False
154,True,True,True,False
155,True,True,True,False
156,True,False,False,False
157,True,True,True,False
158,True,True,True,False
159,True,True,True,False
160,True,True,True,False
161,True,True,True,False
162,True,True,True,False
163,True,False,False,False
164,True,True,True,False
165,False,False,False,True
166,True,False,False,False
167,True,True,True,False
168,True,True,True,False
169,True,True,True,False
170,True,True,True,False
171,True,True,True,False
172,True,True,True,False
173,True,True,True,False
